0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-32.75931166119243,-29.757020044756803,-27.033112743396586,-24.496703537832392,-22.112340486043,-19.864516377332354,-17.750780185080988,-15.785398463868042,-14.006548253313486,-12.397572251313099,-12.397555946171348,-10.737639352858693,-9.219585173011597,-8.83398804122598,-6.8712256309750135,-4.770981760053025,-2.5968509692131163,-0.37595837200919763,1.8650513887486255,4.084273823534265,6.194586364047453,8.031571388757364,9.646355324568304,11.220583369469633,11.648571641994188,13.851194322886323,16.284523105416728,18.840288361441303,18.84054428263521,21.569340283781116,24.43860058392094,27.544887614057867
-30.08086320116187,-27.054120824154158,-24.298234202791196,-21.72199241507501,-19.28965542634662,-16.985565324178882,-14.806729933932084,-12.796187491988643,-12.518436214002438,-10.840136395534223,-10.839934142221546,-9.219146259105054,-8.225446857710512,-7.06142990600262,-5.3738716179646655,-3.5379956666585954,-1.623481664530794,0.34536433758822166,2.358658943697678,2.3586752728219524,4.422125682554711,6.498535626545128,8.543672297144628,10.328736189241107,11.240398638376133,12.914973858645325,14.941481481911941,17.088144759521093,19.37839941067303,21.85218936464389,24.557732647492113,27.590233610301382
-28.983639809765375,-28.982841132568392,-25.771509067199656,-22.76314121467733,-19.902448710303275,-17.166893494922316,-14.54964445075552,-12.050483648362388,-9.669854733540134,-7.404403175427556,-5.241978087712075,-3.1564822536609873,-1.1099431078497732,0.9317651557971761,2.979156507301527,2.986382644063235,5.036293965347679,7.066760064092507,9.04267085239904,10.918708378726464,12.605528911415528,14.07524675701902,15.664177698926139,17.167876698959596,17.5884494701222,19.610586502931753,19.62500324119974,21.920675557281246,24.364432233374938,26.94969654412317,29.710358825216254,32.73745840280345
-30.92062881771511,-27.939334171961775,-25.234628558709232,-22.71285305924902,-20.33486888249301,-18.07886105606505,-15.930345245040987,-13.879045371496941,-11.92308812617745,-10.118650812499162,-10.113917596681473,-8.651009758898013,-7.21019064365949,-7.207674087842925,-5.399083074266489,-3.430973413364958,-1.4129228042357873,-1.3949298073518508,0.6260864502960429,2.5860431684342067,4.4378947670718025,6.277335229327374,8.265477617043954,10.445647417723858,12.789476178000749,15.263470430103837,17.844081546726972,20.520385652942696,23.294412014137716,23.294915562844825,26.271845363910685,29.471377233721896
-31.347867390934603,-28.37563676330987,-25.657511404177868,-23.10056154644615,-20.67029420133423,-18.34893962899219,-16.120573208584677,-13.9638423268349,-11.851765157551748,-9.759466247813304,-7.673581694343353,-5.594265497971415,-3.529674505073467,-1.4922222131447216,-1.492187981559496,0.49480141855336834,2.4494251485979452,4.380661915336485,6.2949026626970745,8.18545511813677,8.194350108858451,9.871816025819733,10.493883150868765,10.494165496380825,12.175727824758015,14.157229560842966,16.247762535682863,18.452048542319012,20.783672130434788,23.264133432854006,25.932564336866573,28.88310804960002
-35.23222282126331,-32.22375394094747,-29.475510470043876,-26.921401901086387,-26.8699768752176,-24.536734900281267,-22.350194556392996,-22.156118127292178,-20.1694654241532,-18.14866533778591,-16.189774752834463,-14.254468556782312,-12.301058823426162,-10.304047797243184,-8.26982088609791,-6.264545344835267,-4.574034020193637,-3.32264399082086,-1.4493478882370285,0.7446472631737528,3.039849433324227,5.356654221721638,7.589258541385913,9.487827233131684,11.012747039029756,13.002432992301168,15.37164702544994,15.371673457935154,18.002349285577722,20.752385497607218,23.645954162054174,26.777982406728498
-30.279566065047074,-27.271931968976403,-24.493536557175105,-21.845995451642885,-19.298902378733647,-16.852501171520466,-14.521206762376673,-12.320210871275451,-10.251361951501444,-8.28188542885297,-6.337821158183324,-4.345535042352651,-4.345526778046415,-2.253634321274498,-0.12110977115332608,2.0215455022387148,4.155148111276367,6.265699157463052,8.342855422262764,10.379086526893081,12.370288303345434,14.316389365742028,14.316697053420933,16.224023947059326,18.1559911513123,18.16621413058206,20.215541701671174,22.377942188714773,24.665020995730146,27.1022252824212,29.730285347994418,32.64446383520329
-32.4121388173145,-29.41033611666058,-26.6885554225675,-24.231013177012684,-24.140241263377007,-22.21446832357231,-21.01437947761007,-19.390692170935232,-17.431712887105057,-15.458739838486009,-13.512309993150762,-11.567802157863866,-9.589162501558492,-7.55462490343872,-5.459643885455461,-3.3095075452582545,-1.1133917124217718,1.1172208490501487,3.231808969004969,3.529723747551285,5.704997941895504,8.027250283630433,10.372259291811421,12.50983641725987,13.023907884059627,15.270712188329286,17.769544515040458,20.3518658897012,23.024581171092994,23.02483738691949,25.907726219851067,29.019707246386847
-30.297444897640506,-27.439614072462586,-24.82699423829367,-22.34882344673056,-19.963926835714414,-17.659287635119295,-15.429633427664976,-13.264472694753206,-11.143942894939885,-9.043741405943196,-6.944828333947438,-4.838889626581825,-4.838887791328554,-2.724779802504923,-0.6159077287931222,1.4761771543284739,3.5411477201153763,5.552323798493197,5.5727861200389155,7.416166796214259,7.416472928863726,8.201499214448798,9.555731056556807,11.416174405047185,13.374339122583168,15.42910340384286,17.590697979214827,19.86866610255065,22.274838767624658,24.82843782413534,27.566357809103327,30.579953919364108
-30.264709808212483,-27.158086363876468,-24.324037236694426,-24.323840345695302,-21.79059570133316,-19.39228180559914,-17.103537788302546,-14.894183931383894,-12.726060686348962,-10.563899115215406,-8.387739039271931,-6.196120272458494,-4.000839543984335,-1.832502223328846,-1.8133856416648524,0.29158994585438586,2.334689562807997,4.136290850556485,4.97094904803299,4.971165322004788,6.498666409192095,6.507275617787198,8.357384287786925,10.253229271519729,12.217988293064511,14.283258738289542,16.46472359284766,18.770821288893334,21.21125659978723,23.803317235266086,26.582074330703445,29.63658997280755
